ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Date_c,Year,Month,Day,Duration,month,year
AL041951,CHARLIE,1951-08-22,1800,,HU,22.2,-97.5,100,968,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-22,1951,8,22,9,8,1951
AL041951,CHARLIE,1951-08-22,1900,L,HU,22.3,-97.8,100,968,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-22,1951,8,22,9,8,1951
AL041951,CHARLIE,1951-08-23,0,,HU,22.3,-98.2,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-23,1951,8,23,9,8,1951
AL041951,CHARLIE,1951-08-23,600,,TS,22.4,-98.8,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-23,1951,8,23,9,8,1951
AL041951,CHARLIE,1951-08-23,1200,,TS,22.4,-99.4,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-23,1951,8,23,9,8,1951
AL051951,DOG,1951-08-31,0,,TS,13.4,-46.1,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-31,1951,8,31,5,8,1951
AL051951,DOG,1951-08-31,600,,TS,13.6,-47.7,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-31,1951,8,31,5,8,1951
AL051951,DOG,1951-08-31,1200,,TS,13.7,-49.4,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-31,1951,8,31,5,8,1951
AL051951,DOG,1951-08-31,1800,,TS,13.8,-51.1,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-08-31,1951,8,31,5,8,1951
AL051951,DOG,1951-09-01,0,,TS,13.9,-52.8,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-01,1951,9,1,5,9,1951
AL051951,DOG,1951-09-01,600,,TS,14.0,-54.4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-01,1951,9,1,5,9,1951
